4/12/2019,3.24,PURCHASE AUTHORIZED ON 04/11 SCENIC BROOK FO AUSTIN TX P00000000772276372
2/1/2019,10.08,PURCHASE AUTHORIZED ON 04/10 12COMPANYKITCHEN 8 MERRIAM KS S469100751676348
2/2/2019,10.23,PURCHASE AUTHORIZED ON 04/10 STARBUCKS STORE 06 AUSTIN TX S389100477104161
2/3/2019,16.23,PURCHASE AUTHORIZED ON 04/10 Prime Video*MZ9L52 888-802-3080 WA S469101053804392 
2/4/2019,3.1,PURCHASE AUTHORIZED ON 04/07 12COMPANYKITCHEN 8 MERRIAM KS S469097834660291
4/8/2019,7.16,PURCHASE AUTHORIZED ON 04/08 SHELL Service Station AUSTIN TX P00589099020918410
4/8/2019,5.49,PURCHASE AUTHORIZED ON 04/08 7-ELEVEN AUSTIN TX P00000000471144769
4/8/2019,29.88,PURCHASE AUTHORIZED ON 04/07 H-E-B #404 AUSTIN TX P00000000989262272
1/1/2019,9.7,PURCHASE AUTHORIZED ON 04/06 12COMPANYKITCHEN 8 MERRIAM KS S589096765475432
1/2/2019,7.88,PURCHASE AUTHORIZED ON 04/06 CENTRAL MARKET AUSTIN TX P00000000983292555
1/3/2019,25.2,PURCHASE AUTHORIZED ON 04/05 SHELL OIL 57542694 SAN ANTONIO TX S389095697426081 
1/4/2019,8,PURCHASE AUTHORIZED ON 04/05 UNIVERSITY OF TX P SAN ANTONIO TX S389095683849501 
1/5/2019,3.94,PURCHASE AUTHORIZED ON 04/05 ARAMARK POD AT PAS SAN ANTONIO TX S469095603438041 
4/8/2019,6.71,PURCHASE AUTHORIZED ON 04/05 STARBUCKS STORE 06 AUSTIN TX S389095453499120
4/8/2019,11.54,PURCHASE AUTHORIZED ON 04/04 SONIC DRIVE IN#369 AUSTIN TX S589095069087165 
4/8/2019,5.41,PURCHASE AUTHORIZED ON 04/04 STARBUCKS STORE 06 AUSTIN TX S389094464618408
4/5/2019,8,PURCHASE AUTHORIZED ON 04/03 UNIVERSITY OF TX P SAN ANTONIO TX S389093683896278 
4/5/2019,1.94,PURCHASE AUTHORIZED ON 04/03 ARAMARK POD AT PAS SAN ANTONIO TX S469093682558830 
4/5/2019,3.14,PURCHASE AUTHORIZED ON 04/03 ARAMARK POD AT PAS SAN ANTONIO TX S469093572830694 
4/5/2019,10.34,PURCHASE AUTHORIZED ON 04/03 STARBUCKS STORE 06 AUSTIN TX S589093470941339
4/4/2019,15.54,PURCHASE AUTHORIZED ON 04/04 H-E-B #029 W LAKE HILLS TX P00000000581150496
4/4/2019,10.12,PURCHASE AUTHORIZED ON 04/02 STARBUCKS STORE 06 AUSTIN TX S309092472520978
4/3/2019,3.23,PURCHASE AUTHORIZED ON 04/03 CHEVRON/BROADDUS PETROL AUSTIN TX P00589093844099037
4/3/2019,13.5,PURCHASE AUTHORIZED ON 04/01 ZOES KITCHEN SAN ANTONIO TX S469091828947785 
4/3/2019,2.93,PURCHASE AUTHORIZED ON 04/01 ARAMARK POD AT PAS SAN ANTONIO TX S469091732019514 
4/3/2019,3.94,PURCHASE AUTHORIZED ON 04/01 ARAMARK POD AT PAS SAN ANTONIO TX S389091572670891 
4/3/2019,9.15,PURCHASE AUTHORIZED ON 04/01 ARAMARK STARBUCKS SAN ANTONIO TX S589091512803987 
4/3/2019,17.97,PURCHASE AUTHORIZED ON 04/01 EXXONMOBIL 4794 SHAVANO PARK TX S469091478903080 
4/3/2019,8.77,PURCHASE AUTHORIZED ON 04/01 STARBUCKS STORE 06 AUSTIN TX S309091475543762
4/1/2019,20.56,PURCHASE AUTHORIZED ON 03/31 PETCO 2740 AUSTIN TX P00389090573573101
3/15/2019,21.02,PURCHASE AUTHORIZED ON 03/31 H-E-B #225 AUSTIN TX P00000000374700938
